gene	Start	End	gene	Start	End
HD	330000000	340000000	HJ	30000000	40000000
HV	670000000	680000000	HD	360000000	370000000
HD	360000000	370000000	HJ	30000000	40000000
HV	590000000	600000000	HD	130000000	140000000
HD	130000000	140000000	HJ	30000000	40000000
HV	560000000	570000000	HD	130000000	140000000
HD	130000000	140000000	HJ	30000000	40000000
HV	590000000	600000000	HD	150000000	160000000
HD	150000000	160000000	HJ	30000000	40000000
HV	0	10000000	HD	130000000	140000000
HD	130000000	140000000	HJ	30000000	40000000
HV	670000000	680000000	HD	350000000	360000000
HD	350000000	360000000	HJ	30000000	40000000
HV	10000000	20000000	HD	150000000	160000000
HD	150000000	160000000	HJ	30000000	40000000
HV	390000000	400000000	HD	160000000	170000000
HD	160000000	170000000	HJ	30000000	40000000
HV	0	10000000	HD	150000000	160000000
HD	150000000	160000000	HJ	30000000	40000000
HV	970000000	980000000	HD	150000000	160000000
HD	150000000	160000000	HJ	30000000	40000000
HV	710000000	720000000	HD	30000000	40000000
HD	30000000	40000000	HJ	30000000	40000000
HV	900000000	910000000	HD	320000000	330000000
HD	320000000	330000000	HJ	40000000	50000000
HV	900000000	910000000	HD	260000000	270000000
HD	260000000	270000000	HJ	30000000	40000000
HV	390000000	400000000	HD	30000000	40000000
HD	30000000	40000000	HJ	30000000	40000000
HV	390000000	400000000	HD	320000000	330000000
HD	320000000	330000000	HJ	30000000	40000000
HV	710000000	720000000	HD	130000000	140000000
HD	130000000	140000000	HJ	30000000	40000000
HV	390000000	400000000	HD	280000000	290000000
HD	280000000	290000000	HJ	30000000	40000000
HV	560000000	570000000	HD	210000000	220000000
HD	210000000	220000000	HJ	30000000	40000000
HV	360000000	370000000	HD	70000000	80000000
HD	70000000	80000000	HJ	30000000	40000000
HV	900000000	910000000	HD	330000000	340000000
HD	330000000	340000000	HJ	50000000	60000000
HV	900000000	910000000	HD	160000000	170000000
HD	160000000	170000000	HJ	40000000	50000000
HV	930000000	940000000	HD	30000000	40000000
HD	30000000	40000000	HJ	30000000	40000000
HV	10000000	20000000	HD	140000000	150000000
HD	140000000	150000000	HJ	40000000	50000000
HV	350000000	360000000	HD	140000000	150000000
HD	140000000	150000000	HJ	30000000	40000000
HV	560000000	570000000	HD	30000000	40000000
HD	30000000	40000000	HJ	30000000	40000000
HV	590000000	600000000	HD	30000000	40000000
HD	30000000	40000000	HJ	30000000	40000000
HV	930000000	940000000	HD	280000000	290000000
HD	280000000	290000000	HJ	30000000	40000000
HV	670000000	680000000	HD	70000000	80000000
HD	70000000	80000000	HJ	30000000	40000000
HV	930000000	940000000	HD	130000000	140000000
HD	130000000	140000000	HJ	30000000	40000000
HV	10000000	20000000	HD	30000000	40000000
HD	30000000	40000000	HJ	30000000	40000000
HV	900000000	910000000	HD	160000000	170000000
